code;mag;alert;place;sig;tsunami;title;Año;Mes;Dia;Hora;Minuto;Segundos;sismoCH;grado_sismo
10004ant;6.3;green;Western Indian-Antarctic Ridge;611;0;M 6.3 - Western Indian-Antarctic Ridge;2015;12;31;23;0;39;0;1
10004amq;5.0;;75km SE of Atka, Alaska;385;0;M 5.0 - 75km SE of Atka, Alaska;2015;12;31;19;22;17;0;0
10004ama;5.4;;121km S of Raoul Island, New Zealand;449;0;M 5.4 - 121km S of Raoul Island, New Zealand;2015;12;31;18;29;38;0;0
10004akg;5.8;green;71km S of Masachapa, Nicaragua;531;0;M 5.8 - 71km S of Masachapa, Nicaragua;2015;12;31;7;56;58;0;0
10004ae8;5.0;;86km SE of `Ohonua, Tonga;385;0;M 5.0 - 86km SE of `Ohonua, Tonga;2015;12;30;8;8;36;0;0
10004acp;5.0;;8km NW of La Gomera, Guatemala;396;0;M 5.0 - 8km NW of La Gomera, Guatemala;2015;12;30;0;25;34;0;0
10004aci;5.0;;Southern East Pacific Rise;385;0;M 5.0 - Southern East Pacific Rise;2015;12;29;23;58;36;0;0
10004a6p;5.0;;14km SSE of Murindo, Colombia;396;0;M 5.0 - 14km SSE of Murindo, Colombia;2015;12;28;23;54;6;0;0
10004a6n;5.8;green;80km W of Panguna, Papua New Guinea;518;1;M 5.8 - 80km W of Panguna, Papua New Guinea;2015;12;28;22;51;41;0;0
10004a4l;5.1;;Central Mid-Atlantic Ridge;400;0;M 5.1 - Central Mid-Atlantic Ridge;2015;12;28;16;24;15;0;0
10004a40;5.2;;17km SE of Passo, Indonesia;417;1;M 5.2 - 17km SE of Passo, Indonesia;2015;12;28;13;26;4;0;0
10004a3n;5.1;;84km SSW of Taron, Papua New Guinea;400;1;M 5.1 - 84km SSW of Taron, Papua New Guinea;2015;12;28;11;39;31;0;0
10004a1v;5.6;green;20km WSW of Saint-Pierre, Martinique;497;0;M 5.6 - 20km WSW of Saint-Pierre, Martinique;2015;12;28;3;55;29;0;0
100049xy;5.3;;Southern East Pacific Rise;432;0;M 5.3 - Southern East Pacific Rise;2015;12;27;12;19;49;0;0
100049re;5.2;;2km ENE of San Benito, Philippines;416;0;M 5.2 - 2km ENE of San Benito, Philippines;2015;12;26;19;11;17;0;0
100049py;5.0;;97km W of Illapel, Chile;385;0;M 5.0 - 97km W of Illapel, Chile;2015;12;26;14;58;8;1;0
100049m3;5.2;;15km E of Karpathos, Greece;416;0;M 5.2 - 15km E of Karpathos, Greece;2015;12;26;8;0;52;0;0
10004ail;5.4;;Southeast Indian Ridge;449;0;M 5.4 - Southeast Indian Ridge;2015;12;26;1;43;15;0;0
100049i1;6.3;green;42km WSW of Ashkasham, Afghanistan;877;0;M 6.3 - 42km WSW of Ashkasham, Afghanistan;2015;12;25;16;14;47;0;1
100049hf;5.8;green;West Chile Rise;518;0;M 5.8 - West Chile Rise;2015;12;25;14;58;4;1;0
100049g1;5.1;;50km NE of Luganville, Vanuatu;400;0;M 5.1 - 50km NE of Luganville, Vanuatu;2015;12;25;4;43;50;0;0
100049dq;5.8;green;270km WNW of Saumlaki, Indonesia;518;1;M 5.8 - 270km WNW of Saumlaki, Indonesia;2015;12;24;20;10;58;0;0
100049cl;5.1;;110km WNW of Rabaul, Papua New Guinea;400;1;M 5.1 - 110km WNW of Rabaul, Papua New Guinea;2015;12;24;17;18;42;0;0
100049ce;6.2;green;Southern East Pacific Rise;591;0;M 6.2 - Southern East Pacific Rise;2015;12;24;16;44;3;0;1
10004966;5.3;;147km N of Neiafu, Tonga;432;0;M 5.3 - 147km N of Neiafu, Tonga;2015;12;23;19;28;18;0;0
1000493b;5.8;green;Bouvet Island region;518;0;M 5.8 - Bouvet Island region;2015;12;23;13;55;9;0;0
10004933;5.0;;Northern Mid-Atlantic Ridge;385;0;M 5.0 - Northern Mid-Atlantic Ridge;2015;12;23;13;17;51;0;0
1000491a;5.1;;71km NE of Tadine, New Caledonia;400;0;M 5.1 - 71km NE of Tadine, New Caledonia;2015;12;23;12;36;53;0;0
1000490j;5.0;;77km SW of Panguna, Papua New Guinea;385;1;M 5.0 - 77km SW of Panguna, Papua New Guinea;2015;12;23;7;8;49;0;0
100048zn;5.0;;155km SSW of Severo-Kuril'sk, Russia;385;0;M 5.0 - 155km SSW of Severo-Kuril'sk, Russia;2015;12;23;3;43;21;0;0
100048sl;5.2;;178km NE of Raoul Island, New Zealand;416;0;M 5.2 - 178km NE of Raoul Island, New Zealand;2015;12;22;10;5;10;0;0
100048lk;5.7;green;32km WSW of Kokopo, Papua New Guinea;500;1;M 5.7 - 32km WSW of Kokopo, Papua New Guinea;2015;12;21;12;44;4;0;0
100048l4;5.0;;111km WNW of Neiafu, Tonga;385;0;M 5.0 - 111km WNW of Neiafu, Tonga;2015;12;21;9;37;12;0;0
100048hu;5.0;;89km W of Panguna, Papua New Guinea;385;1;M 5.0 - 89km W of Panguna, Papua New Guinea;2015;12;20;19;4;34;0;0
100048hc;6.1;green;38km N of Tarakan, Indonesia;585;1;M 6.1 - 38km N of Tarakan, Indonesia;2015;12;20;15;47;36;0;1
100048g8;5.2;;19km N of Biri, Philippines;416;0;M 5.2 - 19km N of Biri, Philippines;2015;12;20;6;28;51;0;0
100048fn;5.2;;195km NE of Raoul Island, New Zealand;416;0;M 5.2 - 195km NE of Raoul Island, New Zealand;2015;12;20;4;29;11;0;0
100048du;5.8;green;10km W of Ovalle, Chile;540;0;M 5.8 - 10km W of Ovalle, Chile;2015;12;19;16;25;5;1;0
100048d4;5.7;green;100km SSW of Cigarogol, Indonesia;504;1;M 5.7 - 100km SSW of Cigarogol, Indonesia;2015;12;19;12;3;36;0;0
100048aa;5.0;;Off the coast of Central America;385;0;M 5.0 - Off the coast of Central America;2015;12;19;1;27;32;0;0
1000489i;6.0;green;129km N of Isangel, Vanuatu;554;0;M 6.0 - 129km N of Isangel, Vanuatu;2015;12;18;23;10;53;0;0
1000488j;5.4;;51km NE of Achham, Nepal;452;0;M 5.4 - 51km NE of Achham, Nepal;2015;12;18;19;16;56;0;0
1000488k;5.1;;191km ESE of Lambasa, Fiji;400;0;M 5.1 - 191km ESE of Lambasa, Fiji;2015;12;18;19;14;9;0;0
1000483e;5.4;green;North of Ascension Island;449;0;M 5.4 - North of Ascension Island;2015;12;18;8;46;48;0;0
1000480v;5.4;;184km SW of Vostok, Russia;449;0;M 5.4 - 184km SW of Vostok, Russia;2015;12;17;18;31;39;0;0
100047zq;6.6;green;12km SW of Tres Picos, Mexico;770;1;M 6.6 - 12km SW of Tres Picos, Mexico;2015;12;17;16;49;53;0;1
100047wy;5.3;;9km NW of Danglas, Philippines;441;0;M 5.3 - 9km NW of Danglas, Philippines;2015;12;17;9;44;3;0;0
20004hm8;5.3;;63km WNW of Pangai, Tonga;432;0;M 5.3 - 63km WNW of Pangai, Tonga;2015;12;16;17;38;37;0;0
20004hdj;5.0;;97km ENE of Visokoi Island, South Georgia and the South Sandwich Islands;385;0;M 5.0 - 97km ENE of Visokoi Island, South Georgia and the South Sandwich Islands;2015;12;15;14;48;50;0;0
20004hde;5.1;;91km ENE of Visokoi Island, South Georgia and the South Sandwich Islands;400;0;M 5.1 - 91km ENE of Visokoi Island, South Georgia and the South Sandwich Islands;2015;12;15;14;8;25;0;0
20004hax;5.2;;16km SE of Luganville, Vanuatu;417;0;M 5.2 - 16km SE of Luganville, Vanuatu;2015;12;15;10;29;35;0;0
20004h86;5.1;;120km NNE of Iwo Jima, Japan;400;0;M 5.1 - 120km NNE of Iwo Jima, Japan;2015;12;14;21;20;33;0;0
20004h6f;5.0;;104km S of Taron, Papua New Guinea;385;1;M 5.0 - 104km S of Taron, Papua New Guinea;2015;12;14;19;56;17;0;0
20004h58;5.2;;64km E of Nikolski, Alaska;416;0;M 5.2 - 64km E of Nikolski, Alaska;2015;12;14;18;12;1;0;0
20004gyq;5.3;green;105km SE of Amahai, Indonesia;432;0;M 5.3 - 105km SE of Amahai, Indonesia;2015;12;13;22;45;58;0;0
20004gyp;5.2;;105km SE of Amahai, Indonesia;416;0;M 5.2 - 105km SE of Amahai, Indonesia;2015;12;13;22;34;0;0;0
20004gv8;5.4;;200km NW of Saumlaki, Indonesia;449;0;M 5.4 - 200km NW of Saumlaki, Indonesia;2015;12;13;3;42;9;0;0
20004gv4;5.1;;115km NE of Kurumkan, Russia;400;0;M 5.1 - 115km NE of Kurumkan, Russia;2015;12;13;2;53;20;0;0
20004guj;5.3;;Kuril Islands;432;0;M 5.3 - Kuril Islands;2015;12;12;22;52;17;0;0
20004gug;5.3;;204km NNW of Tobelo, Indonesia;432;1;M 5.3 - 204km NNW of Tobelo, Indonesia;2015;12;12;22;47;5;0;0
20004gtz;5.5;green;Southeast of Easter Island;465;0;M 5.5 - Southeast of Easter Island;2015;12;12;20;32;54;0;0
20004gm0;5.0;;Southeast Indian Ridge;385;0;M 5.0 - Southeast Indian Ridge;2015;12;11;19;5;36;0;0
20004gba;5.1;green;88km W of Kuripan, Indonesia;400;1;M 5.1 - 88km W of Kuripan, Indonesia;2015;12;11;0;20;48;0;0
20004g7l;5.0;;222km SSE of Saparua, Indonesia;385;0;M 5.0 - 222km SSE of Saparua, Indonesia;2015;12;10;15;55;31;0;0
20004g50;5.1;;241km WNW of Lautoka, Fiji;400;0;M 5.1 - 241km WNW of Lautoka, Fiji;2015;12;10;12;3;26;0;0
20004g40;5.7;green;151km E of Bristol Island, South Sandwich Islands;500;0;M 5.7 - 151km E of Bristol Island, South Sandwich Islands;2015;12;10;9;5;14;0;0
20004g28;5.2;;121km SE of Amahai, Indonesia;416;0;M 5.2 - 121km SE of Amahai, Indonesia;2015;12;9;23;4;43;0;0
20004g1p;5.5;green;86km NNW of Tome, Chile;471;0;M 5.5 - 86km NNW of Tome, Chile;2015;12;9;21;9;32;1;0
20004g0x;5.3;;South Indian Ocean;432;0;M 5.3 - South Indian Ocean;2015;12;9;18;52;42;0;0
20004fzu;5.0;;92km SW of Karakul, Tajikistan;385;0;M 5.0 - 92km SW of Karakul, Tajikistan;2015;12;9;16;17;38;0;0
20004g15;5.0;;108km SE of Amahai, Indonesia;385;0;M 5.0 - 108km SE of Amahai, Indonesia;2015;12;9;13;35;44;0;0
20004fww;5.0;;104km SE of Amahai, Indonesia;385;0;M 5.0 - 104km SE of Amahai, Indonesia;2015;12;9;13;6;10;0;0
20004fvt;5.4;;110km SE of Amahai, Indonesia;449;0;M 5.4 - 110km SE of Amahai, Indonesia;2015;12;9;11;14;1;0;0
20004fve;5.3;;107km SSE of Sigave, Wallis and Futuna;432;0;M 5.3 - 107km SSE of Sigave, Wallis and Futuna;2015;12;9;10;32;56;0;0
20004fuz;6.1;green;255km WNW of Lautoka, Fiji;572;0;M 6.1 - 255km WNW of Lautoka, Fiji;2015;12;9;9;58;1;0;1
20004fur;5.3;;119km SE of Amahai, Indonesia;432;0;M 5.3 - 119km SE of Amahai, Indonesia;2015;12;9;9;39;11;0;0
20004ful;5.0;;112km SE of Amahai, Indonesia;385;0;M 5.0 - 112km SE of Amahai, Indonesia;2015;12;9;9;17;19;0;0
20004fuh;5.2;;117km SE of Amahai, Indonesia;416;0;M 5.2 - 117km SE of Amahai, Indonesia;2015;12;9;9;6;24;0;0
20004fu0;5.2;;133km SE of Amahai, Indonesia;416;0;M 5.2 - 133km SE of Amahai, Indonesia;2015;12;9;8;15;29;0;0
20004ft7;6.9;green;107km SE of Amahai, Indonesia;739;0;M 6.9 - 107km SE of Amahai, Indonesia;2015;12;9;7;21;48;0;1
20004fma;5.0;;24km NNE of Ternate, Indonesia;385;1;M 5.0 - 24km NNE of Ternate, Indonesia;2015;12;8;15;35;19;0;0
1000454p;5.6;green;57km WSW of Ovalle, Chile;484;0;M 5.6 - 57km WSW of Ovalle, Chile;2015;12;8;9;56;7;1;0
100044xh;5.7;green;4km WNW of Masagua, Guatemala;541;0;M 5.7 - 4km WNW of Masagua, Guatemala;2015;12;7;19;53;35;0;0
100044lp;5.4;green;49km SW of Karakul, Tajikistan;449;0;M 5.4 - 49km SW of Karakul, Tajikistan;2015;12;7;7;4;58;0;0
100044km;5.5;green;23km SSE of Chayek, Kyrgyzstan;466;0;M 5.5 - 23km SSE of Chayek, Kyrgyzstan;2015;12;7;5;30;56;0;0
20004g5k;5.2;;65km SSW of Karakul, Tajikistan;416;0;M 5.2 - 65km SSW of Karakul, Tajikistan;2015;12;7;5;9;44;0;0
20004g6m;5.3;;67km WSW of Karakul, Tajikistan;432;0;M 5.3 - 67km WSW of Karakul, Tajikistan;2015;12;7;4;59;9;0;0
